company,date,open,high,low,close,average,volume,value,out_shares,sector,sub_sector
MER,"Jan 25, 2024",383.00,383.00,380.00,380.00,380.98,"209,120","79,670,816.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Jan 24, 2024",383.00,384.00,381.00,383.00,382.86,"247,090","94,602,076.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Jan 23, 2024",385.00,385.20,381.20,383.40,383.43,"183,250","70,263,990.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Jan 22, 2024",378.00,385.00,377.40,385.00,381.72,"249,320","95,169,646.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Jan 19, 2024",374.00,378.40,374.00,377.00,377.00,"138,750","52,308,492.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Jan 18, 2024",374.20,374.80,371.40,374.00,373.25,"104,990","39,187,294.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Jan 17, 2024",373.00,376.80,373.00,373.20,373.91,"160,800","60,124,624.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Jan 16, 2024",381.40,381.60,372.20,372.20,376.84,"248,110","93,498,732.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Jan 15, 2024",380.00,384.00,380.00,381.00,381.56,"231,270","88,244,116.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Jan 12, 2024",384.00,385.00,380.00,380.00,381.35,"96,430","36,773,380.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Jan 11, 2024",382.00,385.00,380.00,380.00,381.05,"84,450","32,179,346.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Jan 10, 2024",391.00,392.20,379.20,382.00,385.30,"309,790","119,361,456.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Jan 09, 2024",395.00,397.00,391.00,391.00,392.90,"126,860","49,843,524.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Jan 08, 2024",398.00,399.00,395.00,395.00,396.90,"123,020","48,826,114.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Jan 05, 2024",397.00,399.00,393.00,399.00,397.57,"38,770","15,413,836.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Jan 04, 2024",391.00,399.00,390.00,397.00,394.18,"183,530","72,344,068.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Jan 03, 2024",399.00,399.00,391.00,394.00,394.34,"86,520","34,118,362.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Jan 02, 2024",395.00,399.80,395.00,399.00,398.19,"142,280","56,654,624.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Dec 29, 2023",397.60,399.00,393.20,399.00,398.08,"222,500","88,572,730.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Dec 28, 2023",393.00,398.00,390.60,398.00,396.02,"290,820","115,170,610.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Dec 27, 2023",388.00,393.00,384.20,393.00,390.14,"122,920","47,956,236.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Dec 22, 2023",385.00,390.00,384.20,388.00,387.87,"103,260","40,051,286.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Dec 21, 2023",385.00,388.00,382.00,387.00,385.61,"133,410","51,444,446.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MER,"Dec 20, 2023",383.00,389.00,380.40,389.00,386.77,"243,990","94,366,970.00","1,127,098,705",INDUSTRIAL,"ELEC., ENERGY, POWER &amp; WATER"
MONDE,"Feb 02, 2024",8.82,9.51,8.80,9.42,9.27,"36,277,100","336,305,763.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Feb 01, 2024",8.77,8.82,8.60,8.78,8.75,"2,803,600","24,517,547.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Jan 31, 2024",8.70,8.87,8.62,8.81,8.80,"7,628,800","67,138,848.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Jan 30, 2024",8.43,8.68,8.41,8.68,8.61,"6,656,600","57,341,055.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Jan 29, 2024",8.48,8.48,8.30,8.34,8.35,"2,941,800","24,570,573.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Jan 26, 2024",8.63,8.63,8.41,8.43,8.46,"1,178,100","9,963,787.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Jan 25, 2024",8.60,8.67,8.58,8.60,8.63,"7,167,200","61,851,181.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Jan 24, 2024",8.56,8.60,8.53,8.58,8.58,"7,522,400","64,529,546.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Jan 23, 2024",8.37,8.60,8.36,8.55,8.52,"15,679,500","133,544,208.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Jan 22, 2024",8.17,8.30,8.17,8.30,8.27,"1,929,100","15,945,409.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Jan 19, 2024",8.20,8.29,8.12,8.15,8.15,"4,236,700","34,537,735.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Jan 18, 2024",8.09,8.33,8.02,8.10,8.10,"1,418,300","11,486,841.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Jan 17, 2024",8.27,8.44,8.03,8.08,8.14,"4,961,600","40,381,887.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Jan 16, 2024",8.36,8.50,8.28,8.28,8.35,"2,161,500","18,053,721.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Jan 15, 2024",8.50,8.50,8.36,8.36,8.38,"1,997,900","16,751,537.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Jan 12, 2024",8.63,8.70,8.41,8.41,8.49,"1,757,300","14,914,238.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Jan 11, 2024",8.50,8.70,8.44,8.63,8.58,"3,349,600","28,734,138.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Jan 10, 2024",8.68,8.78,8.32,8.50,8.60,"4,395,400","37,807,372.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Jan 09, 2024",8.69,8.88,8.68,8.68,8.73,"1,627,500","14,206,173.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Jan 08, 2024",8.55,8.76,8.55,8.69,8.70,"4,285,000","37,275,377.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Jan 05, 2024",8.59,8.61,8.48,8.52,8.52,"4,207,200","35,839,655.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Jan 04, 2024",8.50,8.69,8.41,8.57,8.60,"4,055,200","34,882,457.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Jan 03, 2024",8.50,8.61,8.40,8.55,8.57,"3,765,800","32,256,086.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Jan 02, 2024",8.37,8.52,8.30,8.45,8.43,"9,493,700","80,017,490.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Dec 29, 2023",8.30,8.39,8.28,8.38,8.38,"1,691,300","14,166,275.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Dec 28, 2023",8.16,8.35,8.16,8.32,8.30,"3,361,200","27,883,653.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
MONDE,"Dec 27, 2023",8.37,8.37,8.13,8.15,8.21,"2,776,800","22,789,540.00","17,968,611,496",INDUSTRIAL,"FOOD, BEVERAGE &amp; TOBACCO"
